y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,y38,y39,y40,y41,y42,y43,y44,y45,y46,y47,y48,y49,y50,y51,y52,y53,y54,y55,y56,y57,y58,y59,y60,y61,y62,y63,y64,y65,y66,y67,y68,y69,y70,y71,y72,y73,y74,y75,y76,y77,y78,y79,y80,y81,y82,y83,y84,y85,y86,y87,y88,y89,y90,y91,y92,y93,y94,y95,y96,y97,y98,y99,y100,y101,y102,y103,y104,y105,y106,y107,y108,y109,y110,y111,y112,y113,y114,y115,y116,y117,y118,y119,y120
62,79,75,74,60,47,56,74,83,85,45,69,54,78,52,48,46,82,56,63,27,39,37,38,24,21,24,15,25,15,19,19,15,11,17,12,11,9,17,25,10,13,24,10,22,18,19,22,8,25,23,25,12,25,22,26,17,19,13,10,21,10,10,15,26,26,22,8,14,14,20,24,23,22,27,26,9,14,19,8,14,14,25,25,21,14,25,10,20,12,23,9,15,21,19,16,22,18,22,24,26,10,20,24,15,19,18,13,10,8,23,24,25,15,13,17,13,8,17,17
69,49,55,66,66,48,72,74,42,74,35,58,71,58,49,56,68,72,38,56,40,41,44,48,57,52,53,11,18,11,21,18,7,24,7,23,20,4,4,16,12,11,5,7,21,9,15,20,19,20,12,23,4,21,15,8,6,17,15,21,19,11,4,23,6,16,24,23,22,10,23,12,18,21,10,17,6,16,21,23,23,23,10,19,7,11,12,21,15,21,22,22,17,18,15,17,14,11,21,11,9,20,6,23,21,16,8,19,18,11,7,6,8,18,14,10,8,16,7,17
29,30,58,27,27,26,32,39,28,52,36,38,54,58,34,39,31,39,37,38,66,66,70,70,73,68,58,8,19,22,19,25,23,14,27,12,13,25,8,18,25,21,12,21,21,24,9,17,24,20,14,22,17,17,17,11,22,11,24,20,27,24,26,10,10,24,13,13,20,17,20,14,27,15,12,18,26,25,21,20,28,19,12,12,17,20,23,11,27,27,26,16,15,8,23,16,22,25,17,14,24,8,26,13,9,27,17,26,9,14,13,25,24,10,22,25,17,19,14,28
54,47,37,38,23,32,17,26,54,21,17,53,39,32,28,35,17,47,30,18,85,89,72,89,79,89,83,11,17,23,10,25,11,17,21,18,20,27,12,19,24,30,18,11,11,18,15,26,15,15,23,13,25,28,23,27,28,24,12,23,15,18,20,18,29,28,11,27,30,12,15,14,17,16,16,27,13,15,19,17,11,29,17,14,28,28,28,23,12,17,23,15,15,13,24,23,15,20,29,15,20,15,14,26,22,15,24,30,19,16,27,29,20,11,18,16,15,13,30,12
8,14,8,8,14,36,33,13,18,12,33,2,10,32,11,4,1,11,28,5,87,95,88,86,97,84,84,22,29,19,16,13,12,18,22,17,16,27,31,25,28,14,21,20,28,24,16,15,25,18,26,24,29,17,30,23,28,24,27,30,18,25,27,28,18,17,21,27,16,25,24,22,13,24,14,16,29,26,21,21,19,27,30,13,18,18,17,26,27,18,15,28,25,15,23,16,25,22,26,13,29,14,23,21,13,15,27,23,31,27,25,25,16,24,18,29,20,30,26,23
37,7,21,16,20,27,12,22,31,20,19,7,8,39,27,16,27,9,37,39,81,79,87,80,86,75,86,18,31,23,18,27,22,26,17,20,18,27,18,32,21,19,31,20,30,22,25,30,34,24,26,15,24,23,31,30,29,16,17,22,33,26,18,21,34,25,27,17,32,33,19,22,25,33,19,16,23,29,31,17,23,18,26,31,27,29,14,30,21,15,27,27,27,17,31,24,17,32,15,29,28,32,27,15,26,18,24,32,26,18,27,25,29,29,22,32,16,27,28,28
24,46,38,14,20,17,47,41,43,46,25,48,47,16,29,30,31,27,37,39,65,74,65,79,71,75,63,20,27,32,26,17,34,18,26,19,27,25,22,33,30,21,25,26,26,34,27,19,25,17,29,23,27,20,17,25,17,18,34,31,25,28,26,20,24,29,24,26,19,28,32,25,27,36,30,34,20,24,29,23,20,30,31,18,31,20,20,27,35,30,25,24,22,32,27,21,25,34,17,21,22,30,33,27,32,23,31,35,32,32,32,29,31,26,28,23,34,33,20,31
36,39,14,39,8,24,42,37,24,24,20,15,17,21,7,24,14,35,39,45,63,66,71,68,75,63,60,17,34,27,19,16,16,33,32,26,32,17,22,20,30,30,20,32,23,27,16,17,30,22,33,22,24,32,21,23,33,32,16,30,32,30,19,31,28,23,18,17,19,28,31,31,34,24,16,29,33,26,27,26,15,20,35,26,26,24,30,31,20,18,25,35,18,27,32,21,29,15,21,28,24,22,27,35,34,28,25,22,22,21,23,20,31,27,30,21,17,25,21,32
7,39,25,25,13,20,8,17,5,22,4,34,13,18,38,24,23,23,31,16,41,42,51,56,52,40,57,17,18,11,14,19,16,15,15,7,6,14,16,19,10,10,7,1,10,13,7,10,15,2,4,11,10,14,17,11,14,20,12,20,4,17,16,10,14,1,10,6,18,4,3,4,10,16,6,9,1,3,1,11,10,13,14,0,19,0,17,15,8,13,14,0,9,7,4,7,14,6,7,12,1,5,4,18,12,15,18,6,4,6,7,14,6,20,14,17,14,7,4,6
52,24,36,27,34,59,37,37,23,22,54,24,25,24,52,35,40,22,52,27,11,11,16,19,21,28,21,17,30,12,28,28,25,21,28,28,16,23,25,25,23,25,26,22,20,16,14,26,16,26,19,12,19,27,28,14,20,26,31,21,22,16,29,26,20,17,28,16,13,16,30,20,25,21,14,32,12,22,23,27,19,12,23,29,25,30,21,24,13,19,24,27,18,23,18,31,26,22,16,28,28,30,30,14,26,19,17,16,24,17,20,30,30,23,18,14,27,16,25,24
