givenAnswer,expectedAnswer,chartType,colorType,UID,firstTryError,actualError
0.33,0.608939,donut,color,Pooja 1,-1.307790651,4.808328413
0.5125,0.518382,donut,color,Pooja 1,-2.933661396,-0.487621392
0.3325,0.400799,donut,color,Pooja 1,-2.371093921,2.798029771
0.995,0.997925,donut,color,Pooja 1,-2.966629862,-1.260151897
1,0.963824,donut,color,Pooja 1,-2.63329116,1.904040865
0.9325,0.552,donut,color,Pooja 1,-0.984217003,5.254556252
1,0.980183,donut,color,Pooja 1,-2.787697125,1.074984885
0.78,0.605483,donut,color,Pooja 1,-1.739290205,4.135592327
0.21,0.385298,donut,color,Pooja 1,-1.735533228,4.141988573
0.555,0.593407,donut,color,Pooja 1,-2.613458308,1.987575544
0.2125,0.295736,donut,dot,Pooja 1,-2.26370859,3.078712295
0.4225,0.623693,donut,dot,Pooja 1,-1.616202272,4.339443854
0.4175,0.42093,donut,dot,Pooja 1,-2.960945854,-1.095419565
0.6225,0.556667,donut,dot,Pooja 1,-2.389617422,2.745947209
0.955,0.840731,donut,dot,Pooja 1,-2.063294603,3.530058253
0.5275,0.493311,donut,dot,Pooja 1,-2.651187446,1.825337895
0.11,0.152542,donut,dot,Pooja 1,-2.577405294,2.13066734
0.5075,0.514134,donut,dot,Pooja 1,-2.925395921,-0.343000319
0.365,0.40225,donut,dot,Pooja 1,-2.623709617,1.944858446
0.0525,0.089552,donut,dot,Pooja 1,-2.625471269,1.937419727
0.5,0.479374,bar,color,Alex 2,-2.779660138,1.129348967
0.8,0.829837,bar,color,Alex 2,-2.691177834,1.636311398
0.785,0.778313,bar,color,Alex 2,-2.924815164,-0.333334289
0.655,0.682278,bar,color,Alex 2,-2.715220568,1.512378608
0.92,0.915276,bar,color,Alex 2,-2.94648268,-0.743230857
0.13,0.177914,bar,color,Alex 2,-2.531873413,2.297602299
0.595,0.601575,bar,color,Alex 2,-2.9260427,-0.353837343
0.5,0.468983,bar,color,Alex 2,-2.680224858,1.690059451
0.2475,0.274936,bar,color,Alex 2,-2.713724438,1.520346812
0.2,0.243574,bar,color,Alex 2,-2.568546055,2.164271398
0.5575,0.589986,bar,dot,Alex 2,-2.666704512,1.754288927
0.44,0.486386,bar,dot,Alex 2,-2.54467883,2.252052275
0.8625,0.835189,bar,dot,Alex 2,-2.714907957,1.514046493
0.5925,0.634183,bar,dot,Alex 2,-2.584821124,2.102086987
0.75,0.746736,bar,dot,Alex 2,-2.96281179,-1.147521676
0.6625,0.676179,bar,dot,Alex 2,-2.850178756,0.578117532
0.525,0.501241,bar,dot,Alex 2,-2.74895114,1.322447372
0.25,0.245863,bar,dot,Alex 2,-2.953025678,-0.89244603
0.395,0.403608,bar,dot,Alex 2,-2.903921701,-0.020633114
0.45,0.433628,bar,dot,Alex 2,-2.822431685,0.817377672
0.5,0.393162,pie,color,Alex 2,-2.108811041,3.434134458
0.3,0.277487,pie,color,Alex 2,-2.761085993,1.248716983
0.2525,0.290653,pie,color,Alex 2,-2.615702579,1.978305475
0.4,0.699627,pie,color,Alex 2,-1.235731987,4.911101922
0.1625,0.146718,pie,color,Alex 2,-2.828465208,0.768247855
0.3,0.38765,pie,color,Alex 2,-2.23344724,3.152183419
0.6,0.549539,pie,color,Alex 2,-2.510777699,2.370471204
1,0.990826,pie,color,Alex 2,-2.897822959,0.059908989
0.8,0.683544,pie,color,Alex 2,-2.050167781,3.557115958
0.95,0.933036,pie,color,Alex 2,-2.816402965,0.865047789
0.9,0.936709,pie,dot,Alex 2,-2.62852812,1.924441986
0.18,0.175904,pie,dot,Alex 2,-2.953483795,-0.903468257
0.335,0.29454,pie,dot,Alex 2,-2.595445608,2.060393312
0.6,0.593407,pie,dot,Alex 2,-2.925845347,-0.350522495
0.8,0.804071,pie,dot,Alex 2,-2.953763206,-0.910230691
0.8,0.722461,pie,dot,Alex 2,-2.303728361,2.977994224
0.95,0.858182,pie,dot,Alex 2,-2.205443562,3.218285205
0.4975,0.474462,pie,dot,Alex 2,-2.755960545,1.280243696
0.9,0.871401,pie,dot,Alex 2,-2.702759271,1.577682599
0.6,0.552184,pie,dot,Alex 2,-2.532691301,2.294723664
0.145,0.130326,donut,color,Alex 2,-2.839864604,0.671202777
0.6,0.524706,donut,color,Alex 2,-2.31980889,2.936289295
0.75,0.715867,donut,color,Alex 2,-2.651695051,1.823056374
0.165,0.140777,donut,color,Alex 2,-2.744458177,1.348968878
1,0.87883,donut,color,Alex 2,-2.022273139,3.613767368
0.8525,0.740741,donut,color,Alex 2,-2.078508826,3.498365768
0.3325,0.416149,donut,color,Alex 2,-2.260850089,3.085747561
0.225,0.252336,donut,color,Alex 2,-2.714671175,1.51530876
0.3,0.331053,donut,color,Alex 2,-2.679892003,1.691668155
1,0.989183,donut,color,Alex 2,-2.880264024,0.27106705
0.33,0.331593,donut,dot,Alex 2,-2.981730462,-1.814513996
0.8,0.707084,donut,dot,Alex 2,-2.198155968,3.235206248
0.23,0.232376,donut,dot,Alex 2,-2.972834622,-1.46354917
0.8525,0.753906,donut,dot,Alex 2,-2.16104662,3.319675733
0.335,0.34104,donut,dot,Alex 2,-2.931920833,-0.45600928
0.5,0.547529,donut,dot,Alex 2,-2.535089213,2.286260182
0.3325,0.420534,donut,dot,Alex 2,-2.230844393,3.158401663
0.2525,0.270199,donut,dot,Alex 2,-2.80895287,0.922121715
0.8,0.672381,donut,dot,Alex 2,-1.984964944,3.687833354
0.85,0.793147,donut,dot,Alex 2,-2.459155369,2.538612655
0.1275,0.164794,bar,color,Pooja 2,-2.62331843,1.946506299
0.2875,0.280922,bar,color,Pooja 2,-2.926009806,-0.353284339
0.605,0.562791,bar,color,Pooja 2,-2.580275593,2.119654978
0.37,0.342105,bar,color,Pooja 2,-2.709386867,1.543248402
0.4075,0.412916,bar,color,Pooja 2,-2.938807218,-0.585106777
0.6025,0.567204,bar,color,Pooja 2,-2.64118967,1.86971351
0.12,0.135443,bar,color,Pooja 2,-2.831943376,0.739243254
1,0.986014,bar,color,Pooja 2,-2.846988527,0.607484193
0.97,0.979866,bar,color,Pooja 2,-2.890401407,0.15263774
0.8725,0.871863,bar,color,Pooja 2,-2.992666696,-2.405833672
0.4,0.392157,bar,dot,Pooja 2,-2.912205886,-0.137171742
0.45,0.450536,bar,dot,Pooja 2,-2.993826949,-2.485196014
0.825,0.826331,bar,dot,Pooja 2,-2.984719394,-1.953997953
0.195,0.250653,bar,dot,Pooja 2,-2.468706882,2.508504715
0.25,0.293506,bar,dot,Pooja 2,-2.569128132,2.162081103
0.37,0.403287,bar,dot,Pooja 2,-2.659385322,1.788142771
0.5775,0.5563,bar,dot,Pooja 2,-2.773984784,1.166715445
0.5825,0.663158,bar,dot,Pooja 2,-2.281680902,3.034004368
0.135,0.14087,bar,dot,Pooja 2,-2.933793676,-0.490050854
0.7725,0.758575,bar,dot,Pooja 2,-2.847621855,0.601696517
0.86,0.911628,pie,color,Pooja 2,-2.50121403,2.402667611
0.335,0.376238,pie,color,Pooja 2,-2.588677892,2.087055435
0.2225,0.249685,pie,color,Pooja 2,-2.716101927,1.507667804
0.905,0.794552,pie,color,Pooja 2,-2.086519627,3.481531449
0.285,0.421875,pie,color,Pooja 2,-1.933049756,3.787902559
0.33,0.43128,pie,color,Pooja 2,-2.143819019,3.357974195
0.8925,0.767442,pie,color,Pooja 2,-1.999665334,3.658874113
0.2775,0.38175,pie,color,Pooja 2,-2.125006361,3.399171094
0.6625,0.527027,pie,color,Pooja 2,-1.940794261,3.773184053
0.12,0.195567,pie,color,Pooja 2,-2.317843841,2.941425622
0.21,0.24918,pie,dot,Pooja 2,-2.606649703,2.015426204
0.2,0.245399,pie,dot,Pooja 2,-2.553011226,2.221846155
0.2,0.215827,pie,dot,Pooja 2,-2.828004134,0.772054552
0.9475,0.773639,pie,dot,Pooja 2,-1.742453451,4.130197808
0.95,0.837675,pie,dot,Pooja 2,-2.075064012,3.5055734
0.905,0.817251,pie,dot,Pooja 2,-2.232775744,3.153789126
0.2125,0.236842,pie,dot,Pooja 2,-2.743308138,1.355692898
0.9775,0.961272,pie,dot,Pooja 2,-2.823901948,0.805540107
0.8175,0.814201,pie,dot,Pooja 2,-2.962418169,-1.13637866
0.665,0.670695,pie,dot,Pooja 2,-2.935724146,-0.525953401
0.3025,0.244256,donut,color,Pooja 2,-2.448162134,2.572744179
0.1325,0.172691,donut,color,Pooja 2,-2.597793007,2.051058817
0.62,0.617696,donut,color,Pooja 2,-2.973650344,-1.492484414
1,0.855634,donut,color,Pooja 2,-1.892360333,3.86409698
0.4125,0.416517,donut,color,Pooja 2,-2.954366919,-0.924946635
0.3875,0.374699,donut,color,Pooja 2,-2.859341737,0.49067281
0.4325,0.374088,donut,color,Pooja 2,-2.446840062,2.576812341
0.85,0.770964,donut,color,Pooja 2,-2.293104372,3.005148437
0.9025,0.963432,donut,color,Pooja 2,-2.427153007,2.63649702
0.17,0.177054,donut,color,Pooja 2,-2.920800093,-0.268121651
0.515,0.490754,donut,dot,Pooja 2,-2.744235829,1.350270924
0.1225,0.130199,donut,dot,Pooja 2,-2.913770596,-0.160201617
0.81,0.812997,donut,dot,Pooja 2,-2.965818098,-1.235483986
0.1075,0.124774,donut,dot,Pooja 2,-2.813256056,0.889395662
0.405,0.354093,donut,dot,Pooja 2,-2.507115201,2.38286089
0.9,0.870722,donut,dot,Pooja 2,-2.696395746,1.610133076
0.64,0.553809,donut,dot,Pooja 2,-2.24337974,3.1283099
0.825,0.903101,donut,dot,Pooja 2,-2.299730752,2.988248404
0.155,0.188953,donut,dot,Pooja 2,-2.653327849,1.815698381
0.695,0.668919,donut,dot,Pooja 2,-2.726605857,1.450538247
0.36,0.318954,bar,color,Pooja 3,-2.590345126,2.080521232
0.4975,0.430682,bar,color,Pooja 3,-2.382189987,2.766976721
0.2425,0.291789,bar,color,Pooja 3,-2.520446576,2.337397118
0.1925,0.265924,bar,color,Pooja 3,-2.33334156,2.900606013
0.1625,0.231579,bar,color,Pooja 3,-2.365284073,2.814119704
0.365,0.380096,bar,color,Pooja 3,-2.83551233,0.70893764
0.365,0.470483,bar,color,Pooja 3,-2.117267751,3.415934396
0.875,0.965217,bar,color,Pooja 3,-2.216136054,3.193251333
0.1075,0.123209,bar,color,Pooja 3,-2.829213486,0.762051103
0.9525,0.941624,bar,color,Pooja 3,-2.879637442,0.278103728
0.4,0.364865,bar,dot,Pooja 3,-2.642639429,1.863343811
0.1075,0.097202,bar,dot,Pooja 3,-2.885787582,0.207643013
0.6975,0.612952,bar,dot,Pooja 3,-2.254647343,3.100944018
0.21,0.208092,bar,dot,Pooja 3,-2.978145079,-1.662916924
0.8625,0.887615,bar,dot,Pooja 3,-2.735859952,1.398623997
0.575,0.482682,bar,dot,Pooja 3,-2.20212042,3.226015216
0.815,0.848011,bar,dot,Pooja 3,-2.661903099,1.776567261
0.225,0.237594,bar,dot,Pooja 3,-2.861510534,0.469260847
0.965,0.942308,bar,dot,Pooja 3,-2.759336413,1.259543673
0.2775,0.258105,bar,dot,Pooja 3,-2.791907308,1.045792419
0.75,0.735491,pie,color,Pooja 3,-2.841569899,0.65617599
0.57,0.474886,pie,color,Pooja 3,-2.183677186,3.26849428
1,0.911765,pie,color,Pooja 3,-2.229483836,3.16164587
0.895,0.826415,pie,color,Pooja 3,-2.368960926,2.80395027
0.575,0.483553,pie,color,Pooja 3,-2.20791429,3.212522649
0.9225,0.989426,pie,color,Pooja 3,-2.38137793,2.769263957
0.0875,0.187179,pie,color,Pooja 3,-2.154062808,3.335268859
0.2425,0.305106,pie,color,Pooja 3,-2.414222126,2.674822184
0.9075,0.938372,pie,color,Pooja 3,-2.681566301,1.683561722
0.8225,0.608974,pie,color,Pooja 3,-1.562661453,4.424760884
0.095,0.113379,pie,dot,Pooja 3,-2.80209436,0.972986677
0.4675,0.302941,pie,dot,Pooja 3,-1.788070756,4.051450412
0.9625,0.617048,pie,dot,Pooja 3,-1.087880562,5.115624254
0.7675,0.404494,pie,dot,Pooja 3,-1.035029209,5.186880831
0.075,0.205074,pie,dot,Pooja 3,-1.971012244,3.715058694
0.755,0.42369,pie,dot,Pooja 3,-1.131913824,5.055542748
0.8975,0.976101,pie,dot,Pooja 3,-2.296183448,2.997310475
0.265,0.347087,pie,dot,Pooja 3,-2.271691104,3.058957166
0.395,0.336066,pie,dot,Pooja 3,-2.44273991,2.589379995
0.5325,0.497835,pie,dot,Pooja 3,-2.646879999,1.844586516
0.9425,0.913869,donut,color,Pooja 3,-2.702458739,1.57922843
0.8775,0.812859,donut,color,Pooja 3,-2.398657189,2.720081422
0.2775,0.326299,donut,color,Pooja 3,-2.524508314,2.323341244
0.1875,0.360704,donut,color,Pooja 3,-1.745628485,4.124774772
0.81,0.844948,donut,color,Pooja 3,-2.644325142,1.855909988
0.52,0.524324,donut,color,Pooja 3,-2.950938059,-0.843215092
0.7175,0.591781,donut,color,Pooja 3,-1.995856764,3.666404395
0.04,0.1262,donut,color,Pooja 3,-2.24331826,3.128458384
0.255,0.34386,donut,color,Pooja 3,-2.225261426,3.171687219
0.035,0.120385,donut,color,Pooja 3,-2.248896248,3.114949983
0.8875,0.74965,donut,dot,Pooja 3,-1.92768836,3.798050515
0.49,0.361478,donut,dot,Pooja 3,-1.979817149,3.697907232
0.6425,0.670854,donut,dot,Pooja 3,-2.705062297,1.565792121
0.8975,0.988263,donut,dot,Pooja 3,-2.212480609,3.201837706
0.2975,0.40665,donut,dot,Pooja 3,-2.094495057,3.464668267
0.895,0.59799,donut,dot,Pooja 3,-1.244650909,4.898498604
0.2225,0.186876,donut,dot,Pooja 3,-2.638240622,1.882603925
0.4775,0.488064,donut,dot,Pooja 3,-2.882953984,0.240497517
0.9525,0.90631,donut,dot,Pooja 3,-2.546329665,2.24610401
0.3325,0.303828,donut,dot,Pooja 3,-2.702073774,1.581206609
0.9625,0.926471,bar,color,Haley 1,-2.634607566,1.898363161
0.24,0.248235,bar,color,Haley 1,-2.907954976,-0.076280321
0.745,0.728246,bar,color,Haley 1,-2.818538649,0.84831747
0.4725,0.560261,bar,color,Haley 1,-2.232694372,3.153983636
0.3175,0.317716,bar,color,Haley 1,-2.997509174,-2.770042991
0.8075,0.78282,bar,color,Haley 1,-2.740046631,1.374622206
1,0.982222,bar,color,Haley 1,-2.808154397,0.92812393
0.685,0.676072,bar,color,Haley 1,-2.900470482,0.025454096
0.4525,0.505747,bar,color,Haley 1,-2.488050299,2.446176813
0.785,0.708696,bar,color,Haley 1,-2.312552255,2.955201193
0.7375,0.764826,bar,dot,Haley 1,-2.714765883,1.514803986
0.2525,0.271605,bar,dot,Haley 1,-2.794807701,1.025383221
0.4425,0.42924,bar,dot,Haley 1,-2.854544264,0.537047519
0.355,0.27138,bar,dot,Haley 1,-2.261050622,3.085254677
0.3375,0.358071,bar,dot,Haley 1,-2.780205118,1.125717218
0.91,0.906389,bar,dot,Haley 1,-2.958914054,-1.040674961
0.6475,0.640625,bar,dot,Haley 1,-2.922757001,-0.299560282
0.1,0.092697,bar,dot,Haley 1,-2.918082319,-0.225497555
0.505,0.560317,bar,dot,Haley 1,-2.471392677,2.49996066
0.9,0.881356,bar,dot,Haley 1,-2.799430362,0.992333382
0.2625,0.383966,pie,color,Haley 1,-2.020539454,3.617251458
1,0.941176,pie,color,Haley 1,-2.443602958,2.586740728
0.3225,0.531157,pie,color,Haley 1,-1.583562324,4.391678373
0.5175,0.479058,pie,color,Haley 1,-2.613149332,1.988848259
0.205,0.289256,pie,color,Haley 1,-2.256659105,3.096025658
0.2525,0.310065,pie,color,Haley 1,-2.453517886,2.556184143
0.6,0.589708,pie,color,Haley 1,-2.885851562,0.206893236
0.7525,0.742033,pie,color,Haley 1,-2.883986644,0.228603232
0.815,0.765557,pie,color,Haley 1,-2.519172388,2.341786545
0.255,0.354409,pie,color,Haley 1,-2.155797558,3.331404265
0.81,0.905437,pie,dot,Haley 1,-2.181561697,3.273321926
0.505,0.520261,pie,dot,Haley 1,-2.833814176,0.723427501
0.905,0.890411,pie,dot,Haley 1,-2.840742837,0.663481253
0.205,0.224215,pie,dot,Haley 1,-2.793706866,1.033158667
0.4025,0.402597,pie,dot,Haley 1,-2.998880903,-2.892178244
0.15,0.168399,pie,dot,Haley 1,-2.801893132,0.974455891
0.21,0.226757,pie,dot,Haley 1,-2.818508117,0.848557846
0.6075,0.505051,pie,dot,Haley 1,-2.136385003,3.374330077
0.335,0.380247,pie,dot,Haley 1,-2.554298719,2.217137636
0.8025,0.768018,pie,dot,Haley 1,-2.648534492,1.837216667
0.5025,0.49177,donut,color,Haley 1,-2.881188464,0.260627908
0.2525,0.291667,donut,color,Haley 1,-2.606763942,2.01496224
0.2575,0.316686,donut,color,Haley 1,-2.440764689,2.595408178
0.4525,0.597137,donut,color,Haley 1,-1.890909616,3.866779425
0.65,0.676571,donut,color,Haley 1,-2.721934345,1.476174277
0.6025,0.614183,donut,color,Haley 1,-2.871094277,0.371056968
0.9025,0.980743,donut,color,Haley 1,-2.29872243,2.990827825
0.8575,0.774194,donut,color,Haley 1,-2.2632237,3.07990713
0.65,0.6,donut,color,Haley 1,-2.514573173,2.357552005
0.2025,0.264524,donut,color,Haley 1,-2.418704678,2.661612802
0.705,0.62963,donut,dot,Haley 1,-2.319261575,2.937721026
0.25,0.336226,donut,dot,Haley 1,-2.243140667,3.128887252
0.4,0.596774,donut,dot,Haley 1,-1.635880337,4.307603387
1,0.930791,donut,dot,Haley 1,-2.364318035,2.816783999
0.97,0.942731,donut,dot,Haley 1,-2.715305837,1.511923396
0.4775,0.471033,donut,dot,Haley 1,-2.927227386,-0.373887989
0.145,0.132653,donut,dot,Haley 1,-2.864102696,0.443288375
0.2075,0.215084,donut,dot,Haley 1,-2.915021411,-0.178861263
0.305,0.339461,donut,dot,Haley 1,-2.648724473,1.836368534
0.1525,0.15928,donut,dot,Haley 1,-2.923796663,-0.316528107
0.2,0.26178,bar,color,Haley 2,-2.420588112,2.656038663
0.9775,0.968391,bar,color,Haley 2,-2.898522036,0.05088474
0.995,0.98622,bar,color,Haley 2,-2.902065645,0.004321606
0.8075,0.733607,bar,color,Haley 2,-2.329935593,2.909638715
0.5925,0.564551,bar,color,Haley 2,-2.70887742,1.545918961
0.45,0.42069,bar,color,Haley 2,-2.696096537,1.611644543
0.9,0.878342,bar,color,Haley 2,-2.769472325,1.195851509
0.715,0.663625,bar,color,Haley 2,-2.503282012,2.395748328
0.3,0.352174,bar,color,Haley 2,-2.496761189,2.417487999
0.8,0.749672,bar,color,Haley 2,-2.511871681,2.366755832
0.245,0.28275,bar,dot,Haley 2,-2.619270551,1.963474124
0.4,0.477698,bar,dot,Haley 2,-2.302596241,2.980902719
0.875,0.850785,bar,dot,Haley 2,-2.744535524,1.348515717
0.6275,0.631799,bar,dot,Haley 2,-2.951216978,-0.849700292
0.89,0.877451,bar,dot,Haley 2,-2.861982444,0.46456372
0.33,0.288288,bar,dot,Haley 2,-2.584570141,2.103061156
0.755,0.666667,bar,dot,Haley 2,-2.228820945,3.163224981
0.71,0.812121,bar,dot,Haley 2,-2.138466989,3.369759599
0.3325,0.418405,bar,dot,Haley 2,-2.245334797,3.123583433
0.47,0.485762,bar,dot,Haley 2,-2.828670177,0.76655276
0.335,0.367311,pie,color,Haley 2,-2.66830854,1.746785704
0.3325,0.318898,pie,color,Haley 2,-2.850980019,0.57065722
0.8525,0.932584,pie,color,Haley 2,-2.285713153,3.023858567
0.8025,0.630105,pie,color,Haley 2,-1.749547703,4.118068965
0.3475,0.387097,pie,color,Haley 2,-2.602990054,2.030230124
0.8375,0.674113,pie,color,Haley 2,-1.793921963,4.041216694
0.4,0.478455,pie,color,Haley 2,-2.297218359,2.994670229
0.985,0.989583,pie,color,Haley 2,-2.948051631,-0.777690021
0.94,0.88604,pie,color,Haley 2,-2.482290933,2.464929601
0.7625,0.652941,pie,color,Haley 2,-2.091977237,3.470003158
0.9075,0.819945,pie,dot,Haley 2,-2.234091899,3.150640907
0.24,0.279279,pie,dot,Haley 2,-2.605780024,2.018954579
0.835,0.822047,pie,dot,Haley 2,-2.857751264,0.506195692
0.5,0.576159,pie,dot,Haley 2,-2.313591808,2.952501312
0.9025,0.879032,pie,dot,Haley 2,-2.751776081,1.305562016
0.615,0.545946,pie,dot,Haley 2,-2.365469923,2.813606775
0.6025,0.48625,pie,dot,Haley 2,-2.051399153,3.554588852
0.4575,0.508929,pie,dot,Haley 2,-2.502840376,2.397227959
0.62,0.622084,pie,dot,Haley 2,-2.97614569,-1.584673991
0.83,0.874766,pie,dot,Haley 2,-2.558380544,2.202135581
0.5625,0.525036,donut,color,Haley 2,-2.621808025,1.952855377
0.17,0.189944,donut,color,Haley 2,-2.786432481,1.083655897
0.6125,0.64411,donut,color,Haley 2,-2.674751759,1.71633248
0.07,0.064982,donut,color,Haley 2,-2.943216728,-0.673922915
